sam,lane,ct,conc
1CVH,5,8.89855,0.0625
1DCA,5,11.0495,0.0625
1DVA,5,14.766,0.0625
1DCH,5,14.4536,0.0625
1DVH,5,10.3997,0.0625
2ACA,5,10.5453,0.0625
2AVA,5,15.6896,0.0625
X215,6,9.04064,0.0625
X223,6,6.47741,0.0625
O173,6,8.12703,0.0625
M16,6,6.85927,0.0625
M17,6,6.84904,0.0625
X24,6,7.34574,0.0625
O158,6,6.90328,0.0625
O166,6,7.46183,0.0625
X30,6,6.21782,0.0625
M32,6,9.03478,0.0625
M55,6,6.73552,0.0625
O153,6,8.27773,0.0625
O165,6,8.81983,0.0625
2ACH,6,10.2743,0.0625
2AVH,6,9.06086,0.0625
2CCA,6,9.33731,0.0625
2CVA,6,11,0.0625
2CCH,6,8.40457,0.0625
2CVH,6,10.3769,0.0625
2DCA,6,10.9752,0.0625
2DVA,6,11.2102,0.0625
2DCH,6,9.5882,0.0625
2DVH,6,10.3513,0.0625
ORPm,7,10.7592,0.0625
SDBm,7,8.34453,0.0625
X208,1,10.1464,0.00625
X216,1,11.4054,0.00625
M7,1,9.26944,0.00625
M37,1,8.89981,0.00625
O151,1,10.257,0.00625
O159,1,9.96917,0.00625
O167,1,9.5802,0.00625
X23,1,9.76386,0.00625
X31,1,9.91399,0.00625
X39,1,11.4088,0.00625
X209,1,11.6283,0.00625
X217,1,10.4262,0.00625
M8,1,9.4515,0.00625
AP2,1,13.6483,0.00625
AV1,1,14.0618,0.00625
AW2,1,13.3802,0.00625
AX1,1,13.3896,0.00625
AZ2,1,14.136,0.00625
CP2,1,14.677,0.00625
CT2,1,17.1215,0.00625
CV1,1,14.7179,0.00625
CV2,1,13.8362,0.00625
CX1,1,15.0123,0.00625
M19,2,9.77104,0.00625
M38,2,9.20354,0.00625
O160,2,11.4538,0.00625
O168,2,10.1881,0.00625
X32,2,10.2925,0.00625
X210,2,9.93285,0.00625
X218,2,10.0829,0.00625
X226,2,9.62495,0.00625
M11,2,10.0545,0.00625
M25,2,12.7312,0.00625
M39,2,9.28218,0.00625
O161,2,9.28559,0.00625
AQ2,2,13.7638,0.00625
AR1,2,13.3347,0.00625
AS2,2,11.6311,0.00625
AV2,2,12.368,0.00625
AY1,2,19.6068,0.00625
AZ1,2,12.5303,0.00625
CP1,2,13.4392,0.00625
CQ2,2,14.872,0.00625
CR2,2,14.0654,0.00625
CW1,2,14.5617,0.00625
O169,3,11.4196,0.00625
X25,3,11.5934,0.00625
X37,3,10.9964,0.00625
X42,3,11.9115,0.00625
X211,3,11.5523,0.00625
X219,3,8.5588,0.00625
X46,3,12.0644,0.00625
XM12,3,9.79118,0.00625
XM40,3,12.0294,0.00625
O154,3,12.0023,0.00625
O162,3,10.6323,0.00625
O179,3,11.0653,0.00625
X26,3,10.7777,0.00625
X29,3,11.9844,0.00625
X43,3,11.4897,0.00625
AT1,3,13.3177,0.00625
AW1,3,14.2753,0.00625
AX2,3,15.5825,0.00625
CR1,3,16.0536,0.00625
CW2,3,15.2849,0.00625
CX2,3,15.5258,0.00625
X212,4,11.8782,0.00625
X220,4,10.039,0.00625
O152,4,10.5627,0.00625
M13,4,10.7864,0.00625
M27,4,12.2194,0.00625
M52,4,9.05127,0.00625
O155,4,9.55069,0.00625
O163,4,10.6713,0.00625
O171,4,10.333,0.00625
X27,4,10.1059,0.00625
X35,4,12.3632,0.00625
X44,4,11.9019,0.00625
X213,4,12.5666,0.00625
X221,4,9.91674,0.00625
M14,4,10.0786,0.00625
